level;question;answer1;answer2;answer3
0;Каким младенцем была Таня?;пухляшкой;стройняшкой;худеньким ребенком
0;Что общего между маленькой Таней и маленьким Мироном;они ходили в один и тот же деский сад;они были лицами похожи;у них были примерно одинаковые пропорции тела
0;Каким именем первоначально мама хотела назвать Таню?;Жанна;Лена;Настя
0;Любимая песня Тани в детстве;Кораблик детства;Куда уходит детство;Шаланды полные кефали
1;Где чаще всего Таня проводила школьные каникулы?;В деревне у бабушки;в пионерском лагере;в городе, во дворе
1;Какими танцами увлекалась в детстве Таня?;народными;эстрадными;классическими
1;Каким видом спорта увлекалась Таня в юности?;волейбол;плавание;лыжи
1;На каком инструменте Таня в юности умела играть?;на нервах;на свистульке;на баяне
1;Какая талия у Тани была в юности?;70 см;65 см;80 см
2;Во сколько лет Таня вышла замуж?;в 20 лет;в 22 года;в 24 года
2;Сколько кг весила Таня, когда выходила замуж?;42 кг;46 кг;49 кг
2;Когда Таня получила водительские права?;никогда;в 25 лет;в 30 лет
2;Какой был у Тани размер груди, когда она вышла замуж?;между 0-м и 1-м;между 1-м и 2-м;между 2-м и 3-м
2;Куда уехали Таня с Вовой в свадебное путешествие?;в Крым;в Сочи;в Турцию
3;На какие части тела Таня делала пластические операции;Ни на какие;на груди;на лице
3;Чьей крестной является Таня?;Юли и Мирона;Юли и Лени;Лени и Мирона
3;Где Таня с Вовой не отдыхали?;на Гавайях;на Гоа;на Мальдивах
3;Любимый фильм Тани;Любовь и голуби;Унесенные ветром;Берегись автомобиля
3;Чего не выращивает Таня в своем огороде?;Кольраби;Патиссоны;Цветная капуста
